,COD_DEPTO,DEPTO,mean_value,std_value,ssp,period,model,crop
0,14,Ocotepeque,38.981818181818184,20.020435840402413,historical,1981_2010,ensemble,coffeearabica
0,15,Olancho,32.24142480211082,13.49781665434521,historical,1981_2010,ensemble,coffeearabica
0,16,Santa Bárbara,28.45777777777778,7.196866259047564,historical,1981_2010,ensemble,coffeearabica
0,17,Valle,38.77777777777778,19.613280603053365,historical,1981_2010,ensemble,coffeearabica
0,18,Yoro,34.18827160493827,13.819774192838521,historical,1981_2010,ensemble,coffeearabica
0,01,Atlántida,67.20560747663552,13.642798461628646,historical,1981_2010,ensemble,maize
0,06,Choluteca,73.1271676300578,14.557679242436185,historical,1981_2010,ensemble,maize
0,02,Colon,71.6321243523316,9.18629324428677,historical,1981_2010,ensemble,maize
0,03,Comayagua,70.16326530612245,13.113860775523612,historical,1981_2010,ensemble,maize
0,04,Copán,70.0204081632653,12.891208514963205,historical,1981_2010,ensemble,maize
0,05,Cortés,71.496,15.743252014752226,historical,1981_2010,ensemble,maize
0,07,El Paraíso,66.87272727272727,9.255408663677711,historical,1981_2010,ensemble,maize
0,08,Francisco Morazán,69.26614987080103,10.81457368736994,historical,1981_2010,ensemble,maize
0,09,Gracias a Dios,77.33333333333333,16.306554010694708,historical,1981_2010,ensemble,maize
0,10,Intibucá,56.94488188976378,25.014108487236694,historical,1981_2010,ensemble,maize
0,12,La Paz,65.77011494252874,16.38523385528981,historical,1981_2010,ensemble,maize
0,13,Lempira,70.5,12.703793277457077,historical,1981_2010,ensemble,maize
0,14,Ocotepeque,65.2,10.00254513066095,historical,1981_2010,ensemble,maize
0,15,Olancho,64.65435356200528,16.420008413431386,historical,1981_2010,ensemble,maize
0,16,Santa Bárbara,59.791111111111114,27.45187159960114,historical,1981_2010,ensemble,maize
0,17,Valle,76.53448275862068,11.183755949870083,historical,1981_2010,ensemble,maize
0,18,Yoro,64.41795665634675,13.971064286975949,historical,1981_2010,ensemble,maize
0,01,Atlántida,44.70796460176991,21.34200288181961,ssp126,2021_2050,ensemble,banana
0,06,Choluteca,43.47849462365591,21.251744264718177,ssp126,2021_2050,ensemble,banana
0,02,Colon,39.84183673469388,9.396074120147395,ssp126,2021_2050,ensemble,banana
0,03,Comayagua,43.125,16.535397636585582,ssp126,2021_2050,ensemble,banana
0,04,Copán,37.63945578231292,11.210991677710972,ssp126,2021_2050,ensemble,banana
0,05,Cortés,42.00763358778626,16.937918157180057,ssp126,2021_2050,ensemble,banana
0,07,El Paraíso,46.11212121212121,15.777510991161332,ssp126,2021_2050,ensemble,banana
0,08,Francisco Morazán,40.17571059431525,15.664114230439417,ssp126,2021_2050,ensemble,banana
0,09,Gracias a Dios,48.67109634551495,25.490955893274062,ssp126,2021_2050,ensemble,banana
0,10,Intibucá,33.6796875,13.716398485110577,ssp126,2021_2050,ensemble,banana
0,12,La Paz,36.45454545454545,12.51899383383386,ssp126,2021_2050,ensemble,banana
0,13,Lempira,37.960893854748605,13.121845459054265,ssp126,2021_2050,ensemble,banana
0,14,Ocotepeque,29.145454545454545,12.089692351628507,ssp126,2021_2050,ensemble,banana
0,15,Olancho,39.00923482849604,11.820275465462732,ssp126,2021_2050,ensemble,banana
0,16,Santa Bárbara,38.95111111111111,5.429328676415087,ssp126,2021_2050,ensemble,banana
0,17,Valle,49.80952380952381,22.01864804382877,ssp126,2021_2050,ensemble,banana
0,18,Yoro,40.755417956656345,11.97904233091567,ssp126,2021_2050,ensemble,banana
0,01,Atlántida,73.62135922330097,5.456120647625386,ssp126,2021_2050,ensemble,beans
0,06,Choluteca,53.0,18.646686695796195,ssp126,2021_2050,ensemble,beans
0,02,Colon,68.99532710280374,24.20579556452742,ssp126,2021_2050,ensemble,beans
0,03,Comayagua,70.73333333333333,10.220174451151301,ssp126,2021_2050,ensemble,beans
0,04,Copán,75.45454545454545,8.727199883145879,ssp126,2021_2050,ensemble,beans
0,05,Cortés,73.152,13.43610419727385,ssp126,2021_2050,ensemble,beans
0,07,El Paraíso,71.41104294478528,10.0185288839308,ssp126,2021_2050,ensemble,beans
